"TradingDate","CurrencyRate","BaseCurrency","TargetCurrency","Filename","LoadDate"
"2024-03-26","1.08813586","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-27","1.09052053","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-28","1.09013574","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-29","1.09056382","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-30","1.09078622","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-03-31","1.09079277","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-04-01","1.09092306","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-04-02","1.09194589","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-04-03","1.09209343","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-04-04","1.09261778","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-04-05","1.09443405","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-04-06","1.09409881","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-04-07","1.09468801","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
"2024-04-08","1.09469674","AUD","NZD","../data/raw/xrates_aud_nzd_20240109_20240408_20240408230355.json","2024-04-08 23:03:55"
